"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"SURF4","9",6836,"surfeit 4","Surf4"
"SURF6","9",6838,"surfeit 6","Surf6"
"SURF6P1","Y",643470,"surfeit 6 pseudogene 1",""
"SUSD1","9",64420,"sushi domain containing 1","Susd1"
"SUSD2","22",56241,"sushi domain containing 2","Susd2"
"SUSD2P1","22",729568,"sushi domain containing 2 pseudogene 1",""
"SUSD2P2","22",729450,"sushi domain containing 2 pseudogene 2",""
"SUSD3","9",203328,"sushi domain containing 3","Susd3"
"SUSD4","1",55061,"sushi domain containing 4","Susd4"
"SUSD5","3",26032,"sushi domain containing 5","Susd5"
"SUSD6","14",9766,"sushi domain containing 6",""
"SUV39H1","X",6839,"suppressor of variegation 3-9 homolog 1 (Drosophila)","Suv39h1"
"SUV39H2","10",79723,"suppressor of variegation 3-9 homolog 2 (Drosophila)","Suv39h2"
"SUV420H1","11",51111,"suppressor of variegation 4-20 homolog 1 (Drosophila)","Suv420h1"
"SUV420H2","19",84787,"suppressor of variegation 4-20 homolog 2 (Drosophila)","Suv420h2"
"SUZ12","17",23512,"SUZ12 polycomb repressive complex 2 subunit","Suz12"
"SUZ12P1","17",440423,"suppressor of zeste 12 homolog pseudogene 1",""
"SUZ12P2","14",100421539,"suppressor of zeste 12 homolog pseudogene 2",""
"SV2A","1",9900,"synaptic vesicle glycoprotein 2A","Sv2a"
"SV2B","15",9899,"synaptic vesicle glycoprotein 2B","Sv2b"
"SV2C","5",22987,"synaptic vesicle glycoprotein 2C","Sv2c"
"SVEP1","9",79987,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1","Svep1"
"SVIL","10",6840,"supervillin","Svil"
"SVIL-AS1","10",102724316,"SVIL antisense RNA 1",""
"SVILP1","10",645954,"supervillin pseudogene 1",""
"SVIP","11",258010,"small VCP/p97-interacting protein","Svip"
"SVOP","12",55530,"SV2 related protein homolog (rat)","Svop"
"SVOPL","7",136306,"SVOP-like","Svopl"
"SWAP70","11",23075,"SWAP switching B-cell complex 70kDa subunit","Swap70"
"SWI5","9",375757,"SWI5 recombination repair homolog (yeast)","Swi5"
"SWSAP1","19",126074,"SWIM-type zinc finger 7 associated protein 1","Swsap1"
"SWT1","1",54823,"SWT1 RNA endoribonuclease homolog (S. cerevisiae)","Swt1"
"SYAP1","X",94056,"synapse associated protein 1","Syap1"
"SYBU","8",55638,"syntabulin (syntaxin-interacting)","Sybu"
"SYCE1","10",93426,"synaptonemal complex central element protein 1","Syce1"
"SYCE1L","16",100130958,"synaptonemal complex central element protein 1-like","Syce1l"
"SYCE2","19",256126,"synaptonemal complex central element protein 2","Syce2"
"SYCE3","22",644186,"synaptonemal complex central element protein 3","Syce3"
"SYCN","19",342898,"syncollin","Sycn"
"SYCP1","1",6847,"synaptonemal complex protein 1","Sycp1"
"SYCP2","20",10388,"synaptonemal complex protein 2","Sycp2"
"SYCP2L","6",221711,"synaptonemal complex protein 2-like","Sycp2l"
"SYCP3","12",50511,"synaptonemal complex protein 3","Sycp3"
"SYDE1","19",85360,"synapse defective 1, Rho GTPase, homolog 1 (C. elegans)","Syde1"
"SYDE2","1",84144,"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)","Syde2"
"SYF2","1",25949,"SYF2 pre-mRNA-splicing factor","Syf2"
"SYF2P1","14",317778,"SYF2 pre-mRNA-splicing factor pseudogene 1",""
"SYF2P2","9",100128275,"SYF2 pre-mRNA-splicing factor pseudogene 2",""
"SYK","9",6850,"spleen tyrosine kinase","Syk"
"SYMPK","19",8189,"symplekin","Sympk"
"SYN1","X",6853,"synapsin I","Syn1"
"SYN2","3",6854,"synapsin II","Syn2"
"SYN3","22",8224,"synapsin III","Syn3"
"SYNC","1",81493,"syncoilin, intermediate filament protein","Sync"
"SYNCRIP","6",10492,"synaptotagmin binding, cytoplasmic RNA interacting protein","Syncrip"
"SYNDIG1","20",79953,"synapse differentiation inducing 1","Syndig1"
"SYNDIG1L","14",646658,"synapse differentiation inducing 1-like","Syndig1l"
"SYNE1","6",23345,"spectrin repeat containing, nuclear envelope 1","Syne1"
"SYNE1-AS1","6",100505475,"SYNE1 antisense RNA 1",""
"SYNE2","14",23224,"spectrin repeat containing, nuclear envelope 2","Syne2"
"SYNE3","14",161176,"spectrin repeat containing, nuclear envelope family member 3","Syne3"
"SYNE4","19",163183,"spectrin repeat containing, nuclear envelope family member 4","Syne4"
"SYNGAP1","6",8831,"synaptic Ras GTPase activating protein 1","Syngap1"
"SYNGR1","22",9145,"synaptogyrin 1","Syngr1"
"SYNGR2","17",9144,"synaptogyrin 2","Syngr2"
"SYNGR2P1","15",283698,"synaptogyrin 2 pseudogene 1",""
"SYNGR2P2","9",138916,"synaptogyrin 2 pseudogene 2",""
"SYNGR3","16",9143,"synaptogyrin 3","Syngr3"
"SYNGR4","19",23546,"synaptogyrin 4","Syngr4"
"SYNJ1","21",8867,"synaptojanin 1","Synj1"
"SYNJ2","6",8871,"synaptojanin 2","Synj2"
"SYNJ2-IT1","6",100874300,"SYNJ2 intronic transcript 1 (non-protein coding)",""
"SYNJ2BP","14",55333,"synaptojanin 2 binding protein","Synj2bp"
"SYNJ2BP-COX16","14",100529257,"SYNJ2BP-COX16 readthrough",""
"SYNM","15",23336,"synemin, intermediate filament protein","Synm"
"SYNPO","5",11346,"synaptopodin","Synpo"
"SYNPO2","4",171024,"synaptopodin 2","Synpo2"
"SYNPO2L","10",79933,"synaptopodin 2-like","Synpo2l"
"SYNPR","3",132204,"synaptoporin","Synpr"
"SYNPR-AS1","3",100874016,"SYNPR antisense RNA 1",""
"SYNRG","17",11276,"synergin, gamma","Synrg"
"SYP","X",6855,"synaptophysin","Syp"
"SYP-AS1","X",100873921,"SYP antisense RNA 1",""
"SYPL1","7",6856,"synaptophysin-like 1","Sypl"
"SYPL2","1",284612,"synaptophysin-like 2","Sypl2"
"SYS1","20",90196,"Sys1 golgi trafficking protein","Sys1"
"SYS1-DBNDD2","20",767557,"SYS1-DBNDD2 readthrough (NMD candidate)",""
"SYT1","12",6857,"synaptotagmin I","Syt1"
"SYT10","12",341359,"synaptotagmin X","Syt10"
"SYT11","1",23208,"synaptotagmin XI","Syt11"
"SYT12","11",91683,"synaptotagmin XII","Syt12"
"SYT13","11",57586,"synaptotagmin XIII","Syt13"
"SYT14","1",255928,"synaptotagmin XIV","Syt14"
"SYT14P1","4",401135,"synaptotagmin XIV pseudogene 1",""
"SYT15","10",83849,"synaptotagmin XV","Syt15"
"SYT16","14",83851,"synaptotagmin XVI","Syt16"
"SYT17","16",51760,"synaptotagmin XVII","Syt17"
"SYT2","1",127833,"synaptotagmin II","Syt2"
"SYT3","19",84258,"synaptotagmin III","Syt3"
"SYT4","18",6860,"synaptotagmin IV","Syt4"
"SYT5","19",6861,"synaptotagmin V","Syt5"
"SYT6","1",148281,"synaptotagmin VI","Syt6"
"SYT7","11",9066,"synaptotagmin VII","Syt7"
"SYT8","11",90019,"synaptotagmin VIII","Syt8"
"SYT9","11",143425,"synaptotagmin IX","Syt9"
"SYTL1","1",84958,"synaptotagmin-like 1","Sytl1"
"SYTL2","11",54843,"synaptotagmin-like 2","Sytl2"
"SYTL3","6",94120,"synaptotagmin-like 3","Sytl3"
"SYTL4","X",94121,"synaptotagmin-like 4","Sytl4"
"SYTL5","X",94122,"synaptotagmin-like 5","Sytl5"
"SYVN1","11",84447,"synovial apoptosis inhibitor 1, synoviolin","Syvn1"
"SZRD1","1",26099,"SUZ RNA binding domain containing 1","Szrd1"
"SZT2","1",23334,"seizure threshold 2 homolog (mouse)","Szt2"
"T","6",6862,"T, brachyury homolog (mouse)","T"
"T1560","8",100505477,"uncharacterized gene T1560",""
"TAAR1","6",134864,"trace amine associated receptor 1","Taar1"
"TAAR2","6",9287,"trace amine associated receptor 2","Taar2"
"TAAR3","6",9288,"trace amine associated receptor 3 (gene/pseudogene)",""
"TAAR4P","6",503612,"trace amine associated receptor 4, pseudogene",""
"TAAR5","6",9038,"trace amine associated receptor 5","Taar5"
"TAAR6","6",319100,"trace amine associated receptor 6","Taar6"
"TAAR7P","6",503611,"trace amine associated receptor 7, pseudogene",""
"TAAR8","6",83551,"trace amine associated receptor 8","Taar8a;Taar8b;Taar8c"
"TAAR9","6",134860,"trace amine associated receptor 9 (gene/pseudogene)","Taar9"
"TAB1","22",10454,"TGF-beta activated kinase 1/MAP3K7 binding protein 1","Tab1"
"TAB2","6",23118,"TGF-beta activated kinase 1/MAP3K7 binding protein 2","Tab2"
"TAB3","X",257397,"TGF-beta activated kinase 1/MAP3K7 binding protein 3","Tab3"
"TAB3P1","Y",643199,"TGF-beta activated kinase 1/MAP3K7 binding protein 3 pseudogene 1",""
"TAC1","7",6863,"tachykinin, precursor 1","Tac1"
"TAC3","12",6866,"tachykinin 3","Tac2"
"TAC4","17",255061,"tachykinin 4 (hemokinin)",""
"TACC1","8",6867,"transforming, acidic coiled-coil containing protein 1","Tacc1"
"TACC1P1","10",219752,"transforming, acidic coiled-coil containing protein 1 pseudogene 1",""
"TACC2","10",10579,"transforming, acidic coiled-coil containing protein 2","Tacc2"
"TACC3","4",10460,"transforming, acidic coiled-coil containing protein 3","Tacc3"
"TACO1","17",51204,"translational activator of mitochondrially encoded cytochrome c oxidase I","Taco1"
"TACR1","2",6869,"tachykinin receptor 1","Tacr1"
"TACR2","10",6865,"tachykinin receptor 2","Tacr2"
"TACR3","4",6870,"tachykinin receptor 3","Tacr3"
"TACSTD2","1",4070,"tumor-associated calcium signal transducer 2","Tacstd2"
"TADA1","1",117143,"transcriptional adaptor 1","Tada1"
"TADA2A","17",6871,"transcriptional adaptor 2A","Tada2a"
"TADA2B","4",93624,"transcriptional adaptor 2B","Tada2b"
"TADA3","3",10474,"transcriptional adaptor 3","Tada3"
"TAF1","X",6872,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa","Taf1"
"TAF10","11",6881,"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa","Taf10"
"TAF11","6",6882,"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa","Taf11"
"TAF12","1",6883,"TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa","Taf12"
"TAF13","1",6884,"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa","Taf13"
"TAF13P1","6",246112,"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor pseudogene 1",""
"TAF13P2","2",100462886,"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa pseudogene 2",""
"TAF15","17",8148,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa","Taf15"
"TAF1A","1",9015,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa","Taf1a"
"TAF1A-AS1","1",100506161,"TAF1A antisense RNA 1",""
"TAF1B","2",9014,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa","Taf1b"
"TAF1C","16",9013,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa","Taf1c"
"TAF1D","11",79101,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa","Taf1d"
"TAF1L","9",138474,"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like",""
"TAF2","8",6873,"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa","Taf2"
"TAF3","10",83860,"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 140kDa","Taf3"
"TAF4","20",6874,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa","Taf4a"
"TAF4B","18",6875,"TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa","Taf4b"
"TAF5","10",6877,"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa","Taf5"
"TAF5L","1",27097,"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa","Taf5l"
"TAF5LP1","17",645744,"TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa pseudogene 1",""
"TAF6","7",6878,"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa","Taf6"
"TAF6L","11",10629,"TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa","Taf6l"
"TAF7","5",6879,"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa","Taf7"
"TAF7L","X",54457,"TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 50kDa","Taf7l"
"TAF8","6",129685,"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa","Taf8"
"TAF9","5",6880,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa","Taf9"
"TAF9B","X",51616,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa","Taf9b"
"TAF9BP1","3",246135,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa pseudogene 1",""
"TAF9BP2","10",100130319,"TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa pseudogene 2",""
"TAF9P1","Y",360002,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene 1",""
"TAF9P2","Y",360003,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene 2",""
"TAF9P3","19",163088,"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa pseudogene 3",""
"TAGAP","6",117289,"T-cell activation RhoGTPase activating protein","Tagap"
"TAGLN","11",6876,"transgelin","Tagln"
"TAGLN2","1",8407,"transgelin 2","Tagln2"
"TAGLN2P1","8",100418887,"transgelin 2 pseudogene 1",""
"TAGLN2P2","8",642319,"transgelin 2 pseudogene 2",""
"TAGLN3","3",29114,"transgelin 3","Tagln3"
"TAL1","1",6886,"T-cell acute lymphocytic leukemia 1","Tal1"
"TAL2","9",6887,"T-cell acute lymphocytic leukemia 2","Tal2"
"TALDO1","11",6888,"transaldolase 1","Taldo1"
"TALDO1P1","1",6889,"transaldolase 1 pseudogene 1",""
"TAMM41","3",132001,"TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)","Tamm41"
"TANC1","2",85461,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","Tanc1"
"TANC2","17",26115,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2","Tanc2"
"TANGO2","22",128989,"transport and golgi organization 2 homolog (Drosophila)","Tango2"
"TANGO6","16",79613,"transport and golgi organization 6 homolog (Drosophila)","Tango6"
"TANK","2",10010,"TRAF family member-associated NFKB activator","Tank"
"TAOK1","17",57551,"TAO kinase 1","Taok1"
"TAOK2","16",9344,"TAO kinase 2","Taok2"
"TAOK3","12",51347,"TAO kinase 3","Taok3"
"TAP1","6",6890,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","Tap1"
"TAP2","6",6891,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","Tap2"
"TAPBP","6",6892,"TAP binding protein (tapasin)","Tapbp"
"TAPBPL","12",55080,"TAP binding protein-like","Tapbpl"
"TAPT1","4",202018,"transmembrane anterior posterior transformation 1","Tapt1"
"TAPT1-AS1","4",202020,"TAPT1 antisense RNA 1 (head to head)",""
"TARBP1","1",6894,"TAR (HIV-1) RNA binding protein 1","Gm17296"
"TARBP2","12",6895,"TAR (HIV-1) RNA binding protein 2","Tarbp2"
"TARBP2P","8",6896,"TAR (HIV-1) RNA binding protein 2 pseudogene",""
"TARDBP","1",23435,"TAR DNA binding protein","Tardbp"
"TARDBPP1","20",643503,"TAR DNA binding protein pseudogene 1",""
"TARDBPP2","13",440142,"TAR DNA binding protein pseudogene 2",""
"TARID","6",100507308,"TCF21 antisense RNA inducing promoter demethylation",""
"TARM1","19",441864,"T cell-interacting, activating receptor on myeloid cells 1","Tarm1"
"TARP","7",445347,"TCR gamma alternate reading frame protein",""
"TARS","5",6897,"threonyl-tRNA synthetase","Tars"
"TARS2","1",80222,"threonyl-tRNA synthetase 2, mitochondrial (putative)","Tars2"
"TARS2P1","4",100533844,"threonyl-tRNA synthetase 2, mitochondrial pseudogene",""
"TARSL2","15",123283,"threonyl-tRNA synthetase-like 2","Tarsl2"
"TAS1R1","1",80835,"taste receptor, type 1, member 1","Tas1r1"
"TAS1R2","1",80834,"taste receptor, type 1, member 2","Tas1r2"
"TAS1R3","1",83756,"taste receptor, type 1, member 3","Tas1r3"
"TAS2R1","5",50834,"taste receptor, type 2, member 1","Tas2r119"
"TAS2R10","12",50839,"taste receptor, type 2, member 10","Tas2r114"
"TAS2R12P","12",266656,"taste receptor, type 2, member 12, pseudogene",""
"TAS2R13","12",50838,"taste receptor, type 2, member 13","Tas2r121"
"TAS2R14","12",50840,"taste receptor, type 2, member 14","Tas2r140"
"TAS2R15P","12",266657,"taste receptor, type 2, member 15, pseudogene",""
"TAS2R16","7",50833,"taste receptor, type 2, member 16","Tas2r118"
"TAS2R18P","12",338414,"taste receptor, type 2, member 18, pseudogene",""
"TAS2R19","12",259294,"taste receptor, type 2, member 19",""
"TAS2R20","12",259295,"taste receptor, type 2, member 20",""
"TAS2R2P","7",338396,"taste receptor, type 2, member 2, pseudogene",""
"TAS2R3","7",50831,"taste receptor, type 2, member 3","Tas2r137"
"TAS2R30","12",259293,"taste receptor, type 2, member 30",""
"TAS2R31","12",259290,"taste receptor, type 2, member 31","Tas2r136"
"TAS2R38","7",5726,"taste receptor, type 2, member 38","Tas2r138"
"TAS2R39","7",259285,"taste receptor, type 2, member 39","Tas2r139"
"TAS2R4","7",50832,"taste receptor, type 2, member 4","Tas2r108"
"TAS2R40","7",259286,"taste receptor, type 2, member 40","Tas2r144"
"TAS2R41","7",259287,"taste receptor, type 2, member 41","Tas2r126"
"TAS2R42","12",353164,"taste receptor, type 2, member 42","Tas2r131"
"TAS2R43","12",259289,"taste receptor, type 2, member 43",""
"TAS2R46","12",259292,"taste receptor, type 2, member 46","Tas2r120"
"TAS2R5","7",54429,"taste receptor, type 2, member 5",""
"TAS2R50","12",259296,"taste receptor, type 2, member 50",""
"TAS2R60","7",338398,"taste receptor, type 2, member 60","Tas2r135"
"TAS2R62P","7",338399,"taste receptor, type 2, member 62, pseudogene",""
"TAS2R63P","12",338413,"taste receptor, type 2, member 63, pseudogene",""
"TAS2R64P","12",338412,"taste receptor, type 2, member 64, pseudogene",""
"TAS2R67P","12",448991,"taste receptor, type 2, member 67 pseudogene",""
"TAS2R6P","7",448990,"taste receptor, type 2, member 6, pseudogene",""
"TAS2R7","12",50837,"taste receptor, type 2, member 7","Tas2r130"
"TAS2R8","12",50836,"taste receptor, type 2, member 8",""
"TAS2R9","12",50835,"taste receptor, type 2, member 9",""
"TASP1","20",55617,"taspase, threonine aspartase, 1","Tasp1"
"TAT","16",6898,"tyrosine aminotransferase","Tat"
"TAT-AS1","16",100132529,"TAT antisense RNA 1",""
"TATDN1","8",83940,"TatD DNase domain containing 1","Tatdn1"
"TATDN1P1","10",728737,"TatD DNase domain containing 1 pseudogene 1",""
"TATDN2","3",9797,"TatD DNase domain containing 2","Tatdn2"
"TATDN2P1","X",100131103,"TatD DNase domain containing 2 pseudogene 1",""
"TATDN2P2","6",100272205,"TatD DNase domain containing 2 pseudogene 2",""
"TATDN2P3","13",100420458,"TatD DNase domain containing 2 pseudogene 3",""
"TATDN3","1",128387,"TatD DNase domain containing 3","Tatdn3"
"TAX1BP1","7",8887,"Tax1 (human T-cell leukemia virus type I) binding protein 1","Tax1bp1"
"TAX1BP3","17",30851,"Tax1 (human T-cell leukemia virus type I) binding protein 3","Tax1bp3"
"TAZ","X",6901,"tafazzin","Taz"
"TBATA","10",219793,"thymus, brain and testes associated","Tbata"
"TBC1D1","4",23216,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1","Tbc1d1"
"TBC1D10A","22",83874,"TBC1 domain family, member 10A","Tbc1d10a"
"TBC1D10B","16",26000,"TBC1 domain family, member 10B","Tbc1d10b"
"TBC1D10C","11",374403,"TBC1 domain family, member 10C","Tbc1d10c"
"TBC1D12","10",23232,"TBC1 domain family, member 12","Tbc1d12"
"TBC1D13","9",54662,"TBC1 domain family, member 13","Tbc1d13"
"TBC1D14","4",57533,"TBC1 domain family, member 14","Tbc1d14"
"TBC1D15","12",64786,"TBC1 domain family, member 15","Tbc1d15"
"TBC1D16","17",125058,"TBC1 domain family, member 16","Tbc1d16"
"TBC1D17","19",79735,"TBC1 domain family, member 17","Tbc1d17"
"TBC1D19","4",55296,"TBC1 domain family, member 19","Tbc1d19"
"TBC1D2","9",55357,"TBC1 domain family, member 2","Tbc1d2"
"TBC1D20","20",128637,"TBC1 domain family, member 20","Tbc1d20"
"TBC1D21","15",161514,"TBC1 domain family, member 21","Tbc1d21"
"TBC1D22A","22",25771,"TBC1 domain family, member 22A","Tbc1d22a"
"TBC1D22A-AS1","22",642757,"TBC1D22A antisense RNA 1",""
"TBC1D22B","6",55633,"TBC1 domain family, member 22B","Tbc1d22b"
"TBC1D23","3",55773,"TBC1 domain family, member 23","Tbc1d23"
"TBC1D24","16",57465,"TBC1 domain family, member 24","Tbc1d24"
"TBC1D25","X",4943,"TBC1 domain family, member 25","Tbc1d25"
"TBC1D26","17",353149,"TBC1 domain family, member 26",""
"TBC1D27","17",96597,"TBC1 domain family, member 27",""
